date,open,,high,,low,,close,
2019-02-08 21.00.00.000,1.13232,132320,1.13245,132450,1.13209,132090,1.1322,132200
2019-02-10 22.00.00.000,1.13221,132210,1.13248,132480,1.13203,132030,1.13203,132030
2019-02-10 23.00.00.000,1.13191,131910,1.13234,132340,1.13144,131440,1.1318,131800
2019-02-11 00.00.00.000,1.13182,131820,1.13247,132470,1.13182,131820,1.13237,132370
2019-02-11 01.00.00.000,1.13238,132380,1.13252,132520,1.13225,132250,1.13233,132330
2019-02-11 02.00.00.000,1.13236,132360,1.13275,132750,1.13236,132360,1.13272,132720
2019-02-11 03.00.00.000,1.13271,132710,1.13276,132760,1.13238,132380,1.13242,132420
2019-02-11 04.00.00.000,1.13244,132440,1.13248,132480,1.13185,131850,1.13202,132020
2019-02-11 05.00.00.000,1.13203,132030,1.13209,132090,1.13181,131810,1.13193,131930
2019-02-11 06.00.00.000,1.13194,131940,1.1324,132400,1.13183,131830,1.1324,132400
2019-02-11 07.00.00.000,1.13241,132410,1.13297,132970,1.13228,132280,1.13271,132710
2019-02-11 08.00.00.000,1.13274,132740,1.13275,132750,1.13162,131620,1.13208,132080
2019-02-11 09.00.00.000,1.13209,132090,1.13221,132210,1.13081,130810,1.13113,131130
2019-02-11 10.00.00.000,1.13112,131120,1.13164,131640,1.13019,130190,1.13024,130240
2019-02-11 11.00.00.000,1.13026,130260,1.13056,130560,1.12967,129670,1.13039,130390
2019-02-11 12.00.00.000,1.13038,130380,1.13213,132130,1.13036,130360,1.13135,131350
2019-02-11 13.00.00.000,1.13133,131330,1.13138,131380,1.13032,130320,1.13122,131220
2019-02-11 14.00.00.000,1.13124,131240,1.13143,131430,1.13055,130550,1.13101,131010
2019-02-11 15.00.00.000,1.13102,131020,1.13119,131190,1.12824,128240,1.12915,129150
2019-02-11 16.00.00.000,1.12916,129160,1.13013,130130,1.12722,127220,1.12759,127590
2019-02-11 17.00.00.000,1.12758,127580,1.12832,128320,1.12746,127460,1.12759,127590
2019-02-11 18.00.00.000,1.12762,127620,1.12788,127880,1.12688,126880,1.12704,127040
2019-02-11 19.00.00.000,1.12703,127030,1.12736,127360,1.12672,126720,1.12706,127060
2019-02-11 20.00.00.000,1.12708,127080,1.12777,127770,1.12698,126980,1.1276,127600
2019-02-11 21.00.00.000,1.12758,127580,1.12781,127810,1.12745,127450,1.12762,127620
2019-02-11 22.00.00.000,1.12763,127630,1.12773,127730,1.12741,127410,1.12748,127480
2019-02-11 23.00.00.000,1.12751,127510,1.12775,127750,1.12749,127490,1.12767,127670
2019-02-12 00.00.00.000,1.12766,127660,1.12791,127910,1.12743,127430,1.12784,127840
2019-02-12 01.00.00.000,1.1278,127800,1.12793,127930,1.12722,127220,1.12759,127590
2019-02-12 02.00.00.000,1.1276,127600,1.12826,128260,1.12737,127370,1.12821,128210
2019-02-12 03.00.00.000,1.12823,128230,1.12848,128480,1.12783,127830,1.12835,128350
2019-02-12 04.00.00.000,1.12834,128340,1.12836,128360,1.12791,127910,1.12803,128030
2019-02-12 05.00.00.000,1.12804,128040,1.12804,128040,1.12759,127590,1.1276,127600
2019-02-12 06.00.00.000,1.12761,127610,1.12814,128140,1.12748,127480,1.12792,127920
2019-02-12 07.00.00.000,1.1279,127900,1.12852,128520,1.12784,127840,1.1284,128400
2019-02-12 08.00.00.000,1.12839,128390,1.12878,128780,1.12786,127860,1.1285,128500
2019-02-12 09.00.00.000,1.12851,128510,1.12904,129040,1.12577,125770,1.12658,126580
2019-02-12 10.00.00.000,1.12656,126560,1.12761,127610,1.12625,126250,1.12742,127420
2019-02-12 11.00.00.000,1.12741,127410,1.12862,128620,1.12728,127280,1.1286,128600
2019-02-12 12.00.00.000,1.12858,128580,1.12858,128580,1.12739,127390,1.12822,128220
2019-02-12 13.00.00.000,1.12826,128260,1.12952,129520,1.12801,128010,1.12893,128930
2019-02-12 14.00.00.000,1.12891,128910,1.12972,129720,1.12886,128860,1.12925,129250
2019-02-12 15.00.00.000,1.12926,129260,1.13034,130340,1.12899,128990,1.12951,129510
2019-02-12 16.00.00.000,1.12952,129520,1.12993,129930,1.12872,128720,1.12986,129860
2019-02-12 17.00.00.000,1.12985,129850,1.13218,132180,1.12983,129830,1.13154,131540
2019-02-12 18.00.00.000,1.13156,131560,1.13225,132250,1.13128,131280,1.13196,131960
2019-02-12 19.00.00.000,1.13195,131950,1.13394,133940,1.13194,131940,1.1331,133100
2019-02-12 20.00.00.000,1.13313,133130,1.13368,133680,1.13303,133030,1.13319,133190
2019-02-12 21.00.00.000,1.13317,133170,1.1335,133500,1.13293,132930,1.13314,133140
2019-02-12 22.00.00.000,1.13313,133130,1.13326,133260,1.1326,132600,1.13262,132620
2019-02-12 23.00.00.000,1.13243,132430,1.13299,132990,1.13242,132420,1.13288,132880
2019-02-13 00.00.00.000,1.13285,132850,1.1338,133800,1.13283,132830,1.13336,133360
2019-02-13 01.00.00.000,1.13332,133320,1.13353,133530,1.1327,132700,1.13277,132770
2019-02-13 02.00.00.000,1.13279,132790,1.13363,133630,1.13276,132760,1.13349,133490
2019-02-13 03.00.00.000,1.13348,133480,1.13382,133820,1.13335,133350,1.13356,133560
2019-02-13 04.00.00.000,1.13353,133530,1.13413,134130,1.13349,133490,1.13402,134020
2019-02-13 05.00.00.000,1.13401,134010,1.13401,134010,1.1336,133600,1.13366,133660
2019-02-13 06.00.00.000,1.13365,133650,1.13395,133950,1.13341,133410,1.1338,133800
2019-02-13 07.00.00.000,1.13378,133780,1.13384,133840,1.13295,132950,1.13321,133210
2019-02-13 08.00.00.000,1.13319,133190,1.13334,133340,1.1319,131900,1.13196,131960
2019-02-13 09.00.00.000,1.13192,131920,1.13281,132810,1.13128,131280,1.13274,132740
2019-02-13 10.00.00.000,1.13277,132770,1.13342,133420,1.13204,132040,1.13204,132040
2019-02-13 11.00.00.000,1.13207,132070,1.13207,132070,1.13126,131260,1.13168,131680
2019-02-13 12.00.00.000,1.1317,131700,1.13311,133110,1.13111,131110,1.13295,132950
2019-02-13 13.00.00.000,1.13291,132910,1.13294,132940,1.13047,130470,1.13055,130550
2019-02-13 14.00.00.000,1.13057,130570,1.13087,130870,1.12888,128880,1.12911,129110
2019-02-13 15.00.00.000,1.12912,129120,1.12987,129870,1.12807,128070,1.12981,129810
2019-02-13 16.00.00.000,1.1298,129800,1.13038,130380,1.12856,128560,1.12864,128640
2019-02-13 17.00.00.000,1.12865,128650,1.12904,129040,1.12831,128310,1.12875,128750
2019-02-13 18.00.00.000,1.12876,128760,1.12899,128990,1.12725,127250,1.12761,127610
2019-02-13 19.00.00.000,1.12762,127620,1.12828,128280,1.12761,127610,1.12792,127920
2019-02-13 20.00.00.000,1.1279,127900,1.1279,127900,1.12669,126690,1.12702,127020
2019-02-13 21.00.00.000,1.12701,127010,1.12718,127180,1.1264,126400,1.12662,126620
2019-02-13 22.00.00.000,1.12658,126580,1.12674,126740,1.12601,126010,1.12608,126080
2019-02-13 23.00.00.000,1.126,126000,1.12659,126590,1.12487,124870,1.12564,125640
2019-02-14 00.00.00.000,1.12563,125630,1.12649,126490,1.12553,125530,1.12645,126450
2019-02-14 01.00.00.000,1.12642,126420,1.12683,126830,1.12607,126070,1.12641,126410
2019-02-14 02.00.00.000,1.1264,126400,1.12696,126960,1.12623,126230,1.12694,126940
2019-02-14 03.00.00.000,1.12693,126930,1.12724,127240,1.12685,126850,1.1272,127200
2019-02-14 04.00.00.000,1.12722,127220,1.12835,128350,1.12721,127210,1.12819,128190
2019-02-14 05.00.00.000,1.12818,128180,1.12819,128190,1.12766,127660,1.12799,127990
2019-02-14 06.00.00.000,1.128,128000,1.12834,128340,1.12787,127870,1.12798,127980
2019-02-14 07.00.00.000,1.12799,127990,1.12803,128030,1.12742,127420,1.12774,127740
2019-02-14 08.00.00.000,1.12773,127730,1.12947,129470,1.12717,127170,1.1286,128600
2019-02-14 09.00.00.000,1.12861,128610,1.129,129000,1.12498,124980,1.12596,125960
2019-02-14 10.00.00.000,1.12595,125950,1.12697,126970,1.12564,125640,1.12663,126630
2019-02-14 11.00.00.000,1.12664,126640,1.12819,128190,1.12661,126610,1.12716,127160
2019-02-14 12.00.00.000,1.12717,127170,1.12796,127960,1.12649,126490,1.12691,126910
2019-02-14 13.00.00.000,1.1269,126900,1.12767,127670,1.12634,126340,1.12656,126560
2019-02-14 14.00.00.000,1.12655,126550,1.13097,130970,1.1261,126100,1.13024,130240
2019-02-14 15.00.00.000,1.1302,130200,1.13048,130480,1.12885,128850,1.12958,129580
2019-02-14 16.00.00.000,1.12959,129590,1.12964,129640,1.12645,126450,1.12761,127610
2019-02-14 17.00.00.000,1.12762,127620,1.12841,128410,1.12706,127060,1.12837,128370
2019-02-14 18.00.00.000,1.12835,128350,1.12981,129810,1.12806,128060,1.12966,129660
2019-02-14 19.00.00.000,1.12963,129630,1.13003,130030,1.1292,129200,1.12994,129940
2019-02-14 20.00.00.000,1.12995,129950,1.13026,130260,1.1297,129700,1.13007,130070
2019-02-14 21.00.00.000,1.13008,130080,1.1301,130100,1.12913,129130,1.12915,129150
2019-02-14 22.00.00.000,1.12914,129140,1.12948,129480,1.12908,129080,1.12944,129440
2019-02-14 23.00.00.000,1.1294,129400,1.1296,129600,1.12931,129310,1.12942,129420
2019-02-15 00.00.00.000,1.12943,129430,1.12966,129660,1.12937,129370,1.12945,129450
2019-02-15 01.00.00.000,1.12944,129440,1.12968,129680,1.12898,128980,1.12925,129250
2019-02-15 02.00.00.000,1.12926,129260,1.12926,129260,1.12855,128550,1.12871,128710
2019-02-15 03.00.00.000,1.12873,128730,1.12888,128880,1.12844,128440,1.12881,128810
2019-02-15 04.00.00.000,1.1288,128800,1.12891,128910,1.12857,128570,1.12863,128630
2019-02-15 05.00.00.000,1.12862,128620,1.1287,128700,1.12835,128350,1.1287,128700
2019-02-15 06.00.00.000,1.12869,128690,1.12875,128750,1.12825,128250,1.12848,128480
2019-02-15 07.00.00.000,1.12849,128490,1.12895,128950,1.12844,128440,1.12891,128910
2019-02-15 08.00.00.000,1.1289,128900,1.12911,129110,1.12714,127140,1.12792,127920
2019-02-15 09.00.00.000,1.12791,127910,1.12806,128060,1.12682,126820,1.12762,127620
2019-02-15 10.00.00.000,1.12761,127610,1.12838,128380,1.12716,127160,1.12831,128310
2019-02-15 11.00.00.000,1.12832,128320,1.12862,128620,1.1274,127400,1.12742,127420
2019-02-15 12.00.00.000,1.12743,127430,1.12773,127730,1.12716,127160,1.12727,127270
2019-02-15 13.00.00.000,1.12726,127260,1.12799,127990,1.12582,125820,1.12626,126260
2019-02-15 14.00.00.000,1.12628,126280,1.12638,126380,1.12339,123390,1.12526,125260
2019-02-15 15.00.00.000,1.12527,125270,1.12852,128520,1.12516,125160,1.12688,126880
2019-02-15 16.00.00.000,1.12687,126870,1.12762,127620,1.12576,125760,1.12631,126310
2019-02-15 17.00.00.000,1.12634,126340,1.12748,127480,1.12607,126070,1.12679,126790
2019-02-15 18.00.00.000,1.12678,126780,1.1277,127700,1.12666,126660,1.1273,127300
2019-02-15 19.00.00.000,1.12729,127290,1.1306,130600,1.12719,127190,1.12998,129980
2019-02-15 20.00.00.000,1.12997,129970,1.13031,130310,1.1294,129400,1.12949,129490
2019-02-15 21.00.00.000,1.1295,129500,1.13007,130070,1.12946,129460,1.12989,129890
2019-02-17 22.00.00.000,1.1299,129900,1.12995,129950,1.12896,128960,1.12911,129110
2019-02-17 23.00.00.000,1.12924,129240,1.12937,129370,1.12889,128890,1.12898,128980
2019-02-18 00.00.00.000,1.129,129000,1.12958,129580,1.12893,128930,1.12948,129480
2019-02-18 01.00.00.000,1.12947,129470,1.13049,130490,1.12936,129360,1.13029,130290
2019-02-18 02.00.00.000,1.13028,130280,1.13114,131140,1.13027,130270,1.13095,130950
2019-02-18 03.00.00.000,1.13094,130940,1.1325,132500,1.13092,130920,1.13175,131750
2019-02-18 04.00.00.000,1.13174,131740,1.13215,132150,1.13161,131610,1.13171,131710
2019-02-18 05.00.00.000,1.13174,131740,1.13182,131820,1.13107,131070,1.13119,131190
2019-02-18 06.00.00.000,1.1312,131200,1.13132,131320,1.13065,130650,1.13082,130820
2019-02-18 07.00.00.000,1.13083,130830,1.13114,131140,1.13063,130630,1.13081,130810
2019-02-18 08.00.00.000,1.1308,130800,1.13156,131560,1.13015,130150,1.13071,130710
2019-02-18 09.00.00.000,1.13067,130670,1.13086,130860,1.12948,129480,1.13075,130750
2019-02-18 10.00.00.000,1.13074,130740,1.13186,131860,1.13057,130570,1.13152,131520
2019-02-18 11.00.00.000,1.13153,131530,1.13301,133010,1.13109,131090,1.13277,132770
2019-02-18 12.00.00.000,1.13278,132780,1.13311,133110,1.13242,132420,1.13301,133010
2019-02-18 13.00.00.000,1.13303,133030,1.13337,133370,1.13246,132460,1.13307,133070
2019-02-18 14.00.00.000,1.13306,133060,1.13308,133080,1.13202,132020,1.13218,132180
